date,arrivals,ground_truth,dbscan_best,iso_best
2020-01-01,2923053,0,0,1
2020-02-01,1997322,0,0,0
2020-03-01,1065039,1,1,1
2020-04-01,15077,1,0,1
2020-05-01,14282,1,0,1
2020-06-01,14400,1,0,1
2020-07-01,20345,1,0,0
2020-08-01,22229,1,0,0
2020-09-01,22642,1,0,0
2020-10-01,22749,1,0,0
2020-11-01,24973,1,0,0
2020-12-01,29897,1,0,0
2021-01-01,35867,1,0,0
2021-02-01,33309,1,0,0
2021-03-01,42434,1,0,0
2021-04-01,37880,1,0,0
2021-05-01,35434,1,0,0
2021-06-01,29607,1,0,0
2021-07-01,31331,1,0,0
2021-08-01,31658,1,0,0
2021-09-01,35017,1,0,0
2021-10-01,38564,1,0,0
2021-11-01,42323,1,0,0
2021-12-01,77135,1,0,1
2022-01-01,76559,1,0,1
2022-02-01,68753,1,0,1
2022-03-01,92455,1,0,1
2022-04-01,604690,1,1,1
2022-05-01,1037181,0,1,1
2022-06-01,1389092,0,0,1
2022-07-01,1699890,0,0,1
2022-08-01,1808373,0,0,1
2022-09-01,1900183,0,0,1
2022-10-01,2022369,0,0,0
2022-11-01,2048419,0,0,0
2022-12-01,2400548,0,0,0
2023-01-01,2234972,0,0,1
2023-02-01,2047306,0,0,0
2023-03-01,2388103,0,0,0
2023-04-01,2282367,0,0,0
2023-05-01,2416296,0,0,0
2023-06-01,2399593,0,0,0
2023-07-01,2829817,0,0,0
2023-08-01,2701427,0,0,0
2023-09-01,2718469,0,0,0
2023-10-01,2656279,0,0,0
2023-11-01,2663169,0,0,0
2023-12-01,3177506,0,0,1
2024-01-01,2573413,0,0,1
2024-02-01,2792284,0,0,0
2024-03-01,3253261,0,0,1
2024-04-01,2934252,0,0,1
2024-05-01,3198870,0,0,1
2024-06-01,3519432,0,0,1
2024-07-01,3528343,0,0,1
2024-08-01,3770832,0,0,1
2024-09-01,3228672,0,0,1
2024-10-01,3099807,0,0,1
